p_complete,age_sex,date,year,geometry,area,length,width
NA,male,20160125,2016,"list(c(1837317.93646616, 1837317.95254194, 1837318.08006621, 1837318.13957753, 1837318.21609209, 1837318.28410503, 1837318.3181115, 1837318.35193584, 1837318.35211797, 1837318.48814385, 1837318.64117297, 1837318.78570047, 1837318.81970694, 1837318.76019562, 1837318.71391329, 1837318.60961266, 1837318.53915356, 1837318.53915356, 1837318.53915356, 1837318.52215032, 1837318.37762282, 1837318.13107591, 1837317.98654841, 1837317.93646616, 569982.465542205, 569982.634337958, 569982.923392957, 569983.101926928, 
569983.305965751, 569983.527007809, 569983.70554178, 569983.831175057, 569983.824564426, 569983.969091926, 569984.011600014, 569983.909580603, 569983.807561191, 569983.671535309, 569983.445219121, 569982.548219741, 569982.132742517, 569981.954208547, 569981.792677812, 569981.605642224, 569981.537629283, 569981.792677812, 569982.073231194, 569982.465542205))",1.223342934086423,2.5214792814166422,0.7063783995201325
NA,male,20160125,2016,"list(c(1837307.49116543, 1837307.5537458, 1837307.5537458, 1837307.4703053, 1837307.09482303, 1837307.03224265, 1837307.01138252, 1837306.96966227, 1837306.74020088, 1837306.53159962, 1837306.34385849, 1837306.28127811, 1837306.28127811, 1837306.38557874, 1837306.53159962, 1837306.86536164, 1837307.11568316, 1837307.26402312, 1837307.49116543, 569988.639471336, 569988.514308631, 569987.575588351, 569987.283542043, 569986.449124016, 569986.136217256, 569985.719008242, 569985.656426892, 569985.65642689, 
569985.865031396, 569986.261379959, 569986.63686807, 569987.054077085, 569987.4712861, 569987.78419286, 569988.243122773, 569988.472587731, 569988.612707048, 569988.639471336))",2.4070448091431653,3.1117202728321196,1.0903157180490912
NA,male,20160125,2016,"list(c(1837313.35286087, 1837313.60318239, 1837313.66576276, 1837313.73057603, 1837313.64615627, 1837313.34224517, 1837313.08898592, 1837312.86949457, 1837312.72705709, 1837312.5810362, 1837311.76749128, 1837311.51033658, 1837311.18109955, 1837311.02070203, 1837311.029144, 1837311.24598813, 1837311.32942864, 1837311.37114889, 1837311.49630964, 1837311.72577103, 1837312.03867293, 1837312.41415519, 1837312.53931595, 1837312.68533684, 1837312.81049759, 1837313.35286087, 569988.848075843, 569988.827215392, 
569988.660331786, 569988.536729272, 569988.384773721, 569988.063978669, 569987.793835467, 569987.557460165, 569987.325262944, 569987.137518887, 569986.282240409, 569986.172976254, 569986.291163905, 569986.417793531, 569986.578191057, 569986.595147172, 569986.720309875, 569987.074937536, 569987.471286098, 569987.82591376, 569988.159680971, 569988.45172728, 569988.51430863, 569988.53516908, 569988.618610885, 569988.848075843))",2.8910875618373733,3.740198747981724,1.112909155324251
NA,male,20160125,2016,"list(c(1837313.49888175, 1837313.64490264, 1837313.70748302, 1837313.64490264, 1837313.62404251, 1837313.54060201, 1837313.4571615, 1837313.14425961, 1837313.06081911, 1837312.93565835, 1837312.62275646, 1837312.45587545, 1837312.26813431, 1837312.16383368, 1837312.14297356, 1837312.33071469, 1837312.41415519, 1837312.60189633, 1837312.62275646, 1837312.76877734, 1837313.03995898, 1837313.22770012, 1837313.49888175, 569993.666839945, 569993.666839946, 569993.541677243, 569993.14532868, 569992.644677866, 
569992.22746885, 569992.018864343, 569991.643376232, 569991.476492628, 569991.351329922, 569991.142725416, 569991.080144064, 569991.059283611, 569991.101004515, 569991.226167219, 569991.601655331, 569992.123166597, 569992.456933807, 569992.582096512, 569992.895003273, 569993.333072736, 569993.520816789, 569993.666839945))",2.083070863974455,3.0093525426222922,1.0200794069114791
NA,male,20160125,2016,"list(c(1837277.18140214, 1837277.36581936, 1837277.46783877, 1837277.4734439, 1837277.26484264, 1837277.18140214, 1837277.11882176, 1837277.11882176, 1837277.01452113, 1837276.88936037, 1837276.82677999, 1837276.72247936, 1837276.5973186, 1837276.49301797, 1837276.30527684, 1837276.26355659, 1837276.20097621, 1837276.20097621, 1837276.32613696, 1837276.34699709, 1837276.53473823, 1837276.88936037, 1837277.18140214, 569994.835025183, 569994.870291137, 569994.827783049, 569994.626420676, 569993.979746706, 
569993.604258597, 569993.124468231, 569992.748980115, 569992.185747949, 569991.831120289, 569991.789399385, 569991.789399388, 569991.893701641, 569992.081445696, 569992.602956962, 569992.895003273, 569993.082747329, 569993.604258593, 569993.896304904, 569994.021467608, 569994.334374368, 569994.689002028, 569994.835025183))",2.3306145869430006,3.2723520367428938,1.0134945331817773
NA,male,20160125,2016,"list(c(1837312.60189633, 1837312.70619696, 1837312.74791721, 1837312.81049759, 1837312.83135772, 1837312.9773786, 1837313.16511974, 1837313.16511974, 1837313.12339949, 1837313.03995898, 1837312.93565835, 1837312.75974889, 1837312.60189633, 1837312.33071469, 1837312.14297356, 1837312.1012533, 1837312.12211343, 1837312.18469381, 1837312.33071469, 1837312.60189633, 569999.591207936, 569999.591207934, 569999.528626584, 569999.278301175, 569998.861092162, 569998.44388315, 569997.713767376, 569996.837628448, 
569996.712465744, 569996.670744842, 569996.670744842, 569996.826748787, 569996.962791151, 569997.338279264, 569997.838930081, 569998.402162247, 569998.798510812, 569999.090557118, 569999.382603431, 569999.591207936))",2.1027405983450618,2.990579774448443,0.9905404765870323
NA,male,20160125,2016,"list(c(1837307.01138252, 1837307.26170404, 1837307.46663052, 1837307.5537458, 1837307.69976669, 1837307.69976669, 1837307.65804643, 1837307.51202555, 1837306.9905224, 1837306.6776205, 1837306.36471861, 1837306.07267685, 1837305.73891483, 1837305.27999205, 1837305.00881041, 1837304.82106928, 1837304.82106928, 1837304.86278953, 1837305.02967054, 1837305.21741167, 1837305.61375407, 1837306.01009647, 1837306.59418, 1837307.01138252, 570001.009718583, 570001.00971858, 570000.933769656, 570000.905416327, 
570000.801114076, 570000.759393173, 570000.67595137, 570000.550788666, 570000.279602809, 569999.987556497, 569999.77895199, 569999.507766133, 569999.42432433, 569999.42432433, 569999.528626585, 569999.674649739, 569999.799812441, 569999.862393794, 569999.883254245, 569999.966696047, 570000.404765513, 570000.65509092, 570000.926276777, 570001.009718583))",2.1855812441025426,3.1228619728206115,1.0104070692092522
NA,male,20160125,2016,"list(c(1837309.99438056, 1837310.20298182, 1837310.28642233, 1837310.39072296, 1837310.36986283, 1837309.72319892, 1837308.97223438, 1837308.88879388, 1837308.66961197, 1837308.4298711, 1837308.24212997, 1837307.90836795, 1837307.74148694, 1837307.59546605, 1837307.57460593, 1837307.63718631, 1837308.09610908, 1837308.33193297, 1837308.53417173, 1837308.99309451, 1837309.47287741, 1837309.68147867, 1837309.99438056, 570005.66159908, 570005.661599079, 570005.619878178, 570005.473855023, 570005.39041322, 
570004.7645997, 570003.930181673, 570003.888460773, 570003.804041179, 570003.721577169, 570003.742437618, 570003.909321224, 570004.076204829, 570004.284809337, 570004.409972038, 570004.472553392, 570004.514274294, 570004.757984361, 570004.910622855, 570005.286110969, 570005.494715474, 570005.536436376, 570005.66159908))",2.391923810911601,3.2234082490887292,1.095591372037171
NA,male,20160125,2016,"list(c(1837296.95680172, 1837297.06110235, 1837297.16540298, 1837297.14454286, 1837297.1028226, 1837296.97766185, 1837296.76906059, 1837296.28927768, 1837296.03895617, 1837295.53831314, 1837295.24627138, 1837294.97508974, 1837294.82906886, 1837294.53702709, 1837294.37014608, 1837294.34928595, 1837294.47444671, 1837295.12111062, 1837295.41315239, 1837296.18497705, 1837296.45615869, 1837296.69889133, 1837296.7748691, 1837296.87336122, 1837296.95680172, 570006.537738006, 570006.537738006, 570006.454296204, 
570005.891064035, 570005.703319981, 570005.390413219, 570005.05664601, 570004.722878801, 570004.660297448, 570004.660297449, 570004.702018349, 570004.785460151, 570004.868901954, 570005.160948264, 570005.432134122, 570005.765901334, 570005.911924486, 570005.682459531, 570005.682459528, 570005.93278494, 570006.099668543, 570006.167794197, 570006.218446048, 570006.412575302, 570006.537738006))",2.902535799484428,3.2571193895551755,1.21328744916817
NA,female,20160125,2016,"list(c(1837290.28299028, 1837290.40117793, 1837290.61532337, 1837290.82392464, 1837291.17854678, 1837291.26198728, 1837291.22026703, 1837291.13682653, 1837291.0325259, 1837290.94908539, 1837290.78220438, 1837290.42758224, 1837290.17726072, 1837290.21545448, 1837290.28299028, 570011.975873043, 570011.933663167, 570011.752850674, 570011.502525265, 570010.772409493, 570010.042293718, 570009.937991468, 570009.854549663, 570009.854549663, 570009.896270564, 570010.04229372, 570010.647246788, 570011.565106617, 
570011.942105142, 570011.975873043))",1.242527845772401,2.2595008369377285,0.7021341799263879
