p_complete,age_sex,date,year,area,length,width,density,geometry
NA,male,20160125,2016,2.450759646307171,3.187494375590345,1.079890469700642,4,"list(list(c(1837298.32914247, 1837298.31380521, 1837298.24579227, 1837298.18495563, 1837297.99924536, 1837297.74948651, 1837297.43658462, 1837297.08196248, 1837296.74820046, 1837296.70648021, 1837296.70648021, 1837296.74820046, 1837296.9359416, 1837297.0193821, 1837297.18309006, 1837297.21709653, 1837297.20712323, 1837297.37400425, 1837297.56174538, 1837297.74948652, 1837298.06238841, 1837298.20840929, 1837298.25012954, 1837298.32914247, 569971.057489121, 569970.955240734, 569970.836218087, 569970.814095674, 
569970.895729411, 569970.991530073, 569971.283576382, 569971.700785396, 569972.347459365, 569972.514342972, 569973.307040098, 569973.515644605, 569973.70338866, 569973.703388659, 569973.70126323, 569973.607745436, 569973.453063251, 569973.223598294, 569972.868970632, 569972.681226578, 569972.055413057, 569971.617343594, 569971.24185548, 569971.057489121)))"
NA,male,20160125,2016,2.219910154514792,3.070558689620114,1.048064419204366,2,"list(list(c(1837288.17468861, 1837288.27898925, 1837288.3207095, 1837288.34156962, 1837288.44587025, 1837288.40415, 1837288.45192875, 1837288.52931076, 1837288.63361139, 1837288.63361139, 1837288.59189114, 1837288.09486081, 1837287.82006647, 1837287.54888483, 1837287.4445842, 1837287.42323302, 1837287.44023626, 1837287.48630445, 1837287.54888483, 1837287.65318546, 1837288.17468861, 569975.330503811, 569975.30964336, 569975.226201556, 569974.788132093, 569974.037155871, 569973.223598295, 569972.978625731, 
569972.82724973, 569972.681226577, 569972.535203422, 569972.49348252, 569972.570548085, 569972.743807929, 569973.140156491, 569973.4322028, 569973.709764848, 569974.083836023, 569974.329202179, 569974.621248488, 569974.829852993, 569975.330503811)))"
NA,male,20160125,2016,1.877191157667639,2.874395807947966,0.915113549292744,1,"list(list(c(1837312.70824729, 1837312.71554548, 1837312.74105033, 1837312.79206004, 1837312.82808175, 1837312.85221784, 1837313.00460048, 1837313.16613121, 1837313.43630138, 1837313.55720563, 1837313.74920327, 1837314.14554566, 1837314.60446844, 1837314.85478995, 1837315.1259716, 1837315.34254533, 1837315.42756151, 1837315.12597159, 1837314.75048932, 1837314.37500705, 1837314.14554567, 1837314.04124503, 1837313.95780453, 1837313.58232226, 1837313.24856024, 1837313.00460048, 1837312.85157136, 1837312.7750568, 
1837312.70824729, 569976.59085244, 569976.623694291, 569976.70020885, 569976.768221791, 569976.790735358, 569976.790735359, 569976.853237967, 569976.861739585, 569976.769874906, 569976.725713703, 569976.623851753, 569976.477828598, 569976.164921838, 569976.060619585, 569975.998038232, 569975.935063263, 569975.799037381, 569975.559968769, 569975.434806066, 569975.413945614, 569975.476526964, 569975.539108318, 569975.64341057, 569975.810294177, 569976.039759134, 569976.275127968, 569976.394150615, 
569976.470665174, 569976.59085244)))"
NA,male,20160125,2016,1.809648077034472,2.782823755514638,0.949636069422853,3,"list(list(c(1837289.2520522, 1837289.27658567, 1837289.33609699, 1837289.41261155, 1837289.43706948, 1837289.46801643, 1837289.6766177, 1837290.1564006, 1837290.27977655, 1837290.39029758, 1837290.49231699, 1837290.78220438, 1837291.0279189, 1837291.1994069, 1837291.44972842, 1837291.99710331, 1837291.9920917, 1837291.82521069, 1837291.34542779, 1837291.13682653, 1837290.74048413, 1837290.59446325, 1837290.42758224, 1837289.80177845, 1837289.59317719, 1837289.42629618, 1837289.30113543, 1837289.2520522, 
569979.529182333, 569979.584382632, 569979.643893956, 569979.677900426, 569979.683544565, 569979.669477549, 569979.648617101, 569979.669477549, 569979.686402044, 569979.711906897, 569979.703405279, 569979.690338, 569979.677900426, 569979.62775665, 569979.523454394, 569979.23581631, 569979.147966282, 569979.001943129, 569978.814199072, 569978.772478172, 569978.772478171, 569978.814199072, 569978.814199073, 569979.02280358, 569979.189687186, 569979.273128988, 569979.398291691, 569979.529182333)))"
NA,male,20160125,2016,1.902294047661961,2.766635920561682,0.965759354195539,3,"list(list(c(1837298.08324853, 1837298.25012954, 1837298.31270992, 1837298.33357005, 1837298.25012954, 1837298.14377286, 1837297.99980803, 1837297.74948652, 1837297.5826055, 1837297.18626311, 1837296.83164097, 1837296.66475996, 1837296.58131945, 1837296.6230397, 1837296.97766185, 1837297.499165, 1837297.74948651, 1837298.08324853, 569982.881986951, 569982.881986951, 569982.819405598, 569982.631661543, 569982.423057037, 569981.956333952, 569981.713801715, 569981.213150898, 569981.025406846, 569980.754220984, 
569980.587337377, 569980.60819783, 569980.712500081, 569980.94196504, 569981.776383068, 569982.464777938, 569982.673382446, 569982.881986951)))"
NA,male,20160125,2016,2.174235128444274,2.949638958420135,1.052598794519829,3,"list(list(c(1837307.44944517, 1837307.76234706, 1837307.84578757, 1837307.8666477, 1837307.72062681, 1837307.32428442, 1837307.19912366, 1837307.03224265, 1837306.96966227, 1837306.65676038, 1837306.30213823, 1837306.03095659, 1837305.7180547, 1837305.67633445, 1837305.7180547, 1837305.92665596, 1837306.05181672, 1837306.23955786, 1837306.55245975, 1837306.6776205, 1837307.01138252, 1837307.24084391, 1837307.44944517, 569984.196195347, 569984.154474442, 569984.09189309, 569984.02931174, 569983.799846781, 
569982.923707854, 569982.735963796, 569982.569080191, 569982.423057037, 569982.151871179, 569982.026708475, 569982.005848026, 569982.110150278, 569982.235312982, 569982.318754783, 569982.464777938, 569982.610801091, 569983.048870556, 569983.48694002, 569983.75812588, 569984.05017219, 569984.154474442, 569984.196195347)))"
NA,male,20160125,2016,1.223342934086423,2.521479281416642,0.706378399520132,2,"list(list(c(1837317.93646616, 1837317.95254194, 1837318.08006621, 1837318.13957753, 1837318.21609209, 1837318.28410503, 1837318.3181115, 1837318.35193584, 1837318.35211797, 1837318.48814385, 1837318.64117297, 1837318.78570047, 1837318.81970694, 1837318.76019562, 1837318.71391329, 1837318.60961266, 1837318.53915356, 1837318.53915356, 1837318.53915356, 1837318.52215032, 1837318.37762282, 1837318.13107591, 1837317.98654841, 1837317.93646616, 569982.465542205, 569982.634337958, 569982.923392957, 569983.101926928, 
569983.305965751, 569983.527007809, 569983.70554178, 569983.831175057, 569983.824564426, 569983.969091926, 569984.011600014, 569983.909580603, 569983.807561191, 569983.671535309, 569983.445219121, 569982.548219741, 569982.132742517, 569981.954208547, 569981.792677812, 569981.605642224, 569981.537629283, 569981.792677812, 569982.073231194, 569982.465542205)))"
NA,male,20160125,2016,2.407044809143165,3.11172027283212,1.090315718049091,3,"list(list(c(1837307.49116543, 1837307.5537458, 1837307.5537458, 1837307.4703053, 1837307.09482303, 1837307.03224265, 1837307.01138252, 1837306.96966227, 1837306.74020088, 1837306.53159962, 1837306.34385849, 1837306.28127811, 1837306.28127811, 1837306.38557874, 1837306.53159962, 1837306.86536164, 1837307.11568316, 1837307.26402312, 1837307.49116543, 569988.639471336, 569988.514308631, 569987.575588351, 569987.283542043, 569986.449124016, 569986.136217256, 569985.719008242, 569985.656426892, 569985.65642689, 
569985.865031396, 569986.261379959, 569986.63686807, 569987.054077085, 569987.4712861, 569987.78419286, 569988.243122773, 569988.472587731, 569988.612707048, 569988.639471336)))"
NA,male,20160125,2016,2.891087561837373,3.740198747981724,1.112909155324251,4,"list(list(c(1837313.35286087, 1837313.60318239, 1837313.66576276, 1837313.73057603, 1837313.64615627, 1837313.34224517, 1837313.08898592, 1837312.86949457, 1837312.72705709, 1837312.5810362, 1837311.76749128, 1837311.51033658, 1837311.18109955, 1837311.02070203, 1837311.029144, 1837311.24598813, 1837311.32942864, 1837311.37114889, 1837311.49630964, 1837311.72577103, 1837312.03867293, 1837312.41415519, 1837312.53931595, 1837312.68533684, 1837312.81049759, 1837313.35286087, 569988.848075843, 569988.827215392, 
569988.660331786, 569988.536729272, 569988.384773721, 569988.063978669, 569987.793835467, 569987.557460165, 569987.325262944, 569987.137518887, 569986.282240409, 569986.172976254, 569986.291163905, 569986.417793531, 569986.578191057, 569986.595147172, 569986.720309875, 569987.074937536, 569987.471286098, 569987.82591376, 569988.159680971, 569988.45172728, 569988.51430863, 569988.53516908, 569988.618610885, 569988.848075843)))"
NA,male,20160125,2016,2.083070863974455,3.009352542622292,1.020079406911479,3,"list(list(c(1837313.49888175, 1837313.64490264, 1837313.70748302, 1837313.64490264, 1837313.62404251, 1837313.54060201, 1837313.4571615, 1837313.14425961, 1837313.06081911, 1837312.93565835, 1837312.62275646, 1837312.45587545, 1837312.26813431, 1837312.16383368, 1837312.14297356, 1837312.33071469, 1837312.41415519, 1837312.60189633, 1837312.62275646, 1837312.76877734, 1837313.03995898, 1837313.22770012, 1837313.49888175, 569993.666839945, 569993.666839946, 569993.541677243, 569993.14532868, 569992.644677866, 
569992.22746885, 569992.018864343, 569991.643376232, 569991.476492628, 569991.351329922, 569991.142725416, 569991.080144064, 569991.059283611, 569991.101004515, 569991.226167219, 569991.601655331, 569992.123166597, 569992.456933807, 569992.582096512, 569992.895003273, 569993.333072736, 569993.520816789, 569993.666839945)))"
NA,male,20160125,2016,2.330614586943001,3.272352036742894,1.013494533181777,0,"list(list(c(1837277.18140214, 1837277.36581936, 1837277.46783877, 1837277.4734439, 1837277.26484264, 1837277.18140214, 1837277.11882176, 1837277.11882176, 1837277.01452113, 1837276.88936037, 1837276.82677999, 1837276.72247936, 1837276.5973186, 1837276.49301797, 1837276.30527684, 1837276.26355659, 1837276.20097621, 1837276.20097621, 1837276.32613696, 1837276.34699709, 1837276.53473823, 1837276.88936037, 1837277.18140214, 569994.835025183, 569994.870291137, 569994.827783049, 569994.626420676, 569993.979746706, 
569993.604258597, 569993.124468231, 569992.748980115, 569992.185747949, 569991.831120289, 569991.789399385, 569991.789399388, 569991.893701641, 569992.081445696, 569992.602956962, 569992.895003273, 569993.082747329, 569993.604258593, 569993.896304904, 569994.021467608, 569994.334374368, 569994.689002028, 569994.835025183)))"
